wavelength (Å),HD141531 Relative Flux,Ni I Max Absorption,Ni I Half-max,Ni I FWHM Left,Ni I FWHM Right,Ni I EW,Eu II Max Absorption,Eu II Half-max,Eu II FWHM Left,Eu II FWHM Right,Eu II EW,Eu II/Ni I Ratio
6643.02372,1.007599,,,,,,,,,,,
6643.04824,1.00571054,,,,,,,,,,,
6643.07276,1.00300758,,,,,,,,,,,
6643.09728,1.00174857,,,,,,,,,,,
6643.1218,1.00277872,,,,,,,,,,,
6643.14632,1.00442621,,,,,,,,,,,
6643.17084,1.00505453,,,,,,,,,,,
6643.19537,1.0053843,,,,,,,,,,,
6643.21989,1.00725298,,,,,,,,,,,
6643.24441,1.01064049,,,,,,,,,,,
6643.26893,1.01205444,,,,,,,,,,,
6643.29345,1.00825692,,,,,,,,,,,
6643.31797,1.00140719,,,,,,,,,,,
6643.34249,0.99636019,,,,,,,,,,,
6643.36701,0.99361947,,,,,,,,,,,
6643.39153,0.98513383,,,,,,,,,,,
6643.41605,0.96273145,,,,,,,,,,,
6643.44057,0.9261253,,,,,,,,,,,
6643.46509,0.87921461,,,,,,,,,,,
6643.48962,0.82506504,,,,,,,,,,,
6643.51414,0.76494839,,,,,,,,,,,
6643.53866,0.70036042,,,,,,,,,,,
6643.56318,0.63707674,,,,,,,,,,,
6643.5877,0.58326201,,,,,,,,,,,
6643.61222,0.54690432,,,,,,,,,,,
6643.63674,0.5355536,,,,,,,,,,,
6643.66126,0.55573314,,,,,,,,,,,
6643.68578,0.60331213,,,,,,,,,,,
6643.7103,0.66757034,,,,,,,,,,,
6643.73482,0.73846579,,,,,,,,,,,
6643.75935,0.80782362,,,,,,,,,,,
6643.78387,0.86810525,,,,,,,,,,,
6643.80839,0.91600755,,,,,,,,,,,
6643.83291,0.95098083,,,,,,,,,,,
6643.85743,0.97382193,,,,,,,,,,,
6643.88195,0.98861975,,,,,,,,,,,
6643.90647,0.99968497,,,,,,,,,,,
6643.93099,1.0076751,,,,,,,,,,,
6643.95551,1.0107616,,,,,,,,,,,
6643.98003,1.008728,,,,,,,,,,,
6644.00455,1.00578511,,,,,,,,,,,
6644.02907,1.00654248,,,,,,,,,,,
6644.0536,1.01116375,,,,,,,,,,,
6644.07812,1.01663606,,,,,,,,,,,
6644.10264,1.02067331,,,,,,,,,,,
6644.12716,1.02322488,,,,,,,,,,,
6644.15168,1.02460422,,,,,,,,,,,
6644.1762,1.02475473,,,,,,,,,,,
6644.20072,1.02334253,,,,,,,,,,,
6644.22524,1.02013667,,,,,,,,,,,
6644.24976,1.01523101,,,,,,,,,,,
6644.27428,1.00891407,,,,,,,,,,,
6644.2988,1.00355624,,,,,,,,,,,
6644.32333,1.00316338,,,,,,,,,,,
6644.34785,1.00958691,,,,,,,,,,,
6644.37237,1.01781216,,,,,,,,,,,
6644.39689,1.02179355,,,,,,,,,,,
6644.42141,1.0205679,,,,,,,,,,,
6644.44593,1.01736062,,,,,,,,,,,
6644.47045,1.01508881,,,,,,,,,,,
6644.49497,1.01524223,,,,,,,,,,,
6644.51949,1.01888458,,,,,,,,,,,
6644.54401,1.02470319,,,,,,,,,,,
6644.56853,1.02933228,,,,,,,,,,,
6644.59305,1.03039069,,,,,,,,,,,
6644.61758,1.02915444,,,,,,,,,,,
6644.6421,1.02761107,,,,,,,,,,,
6644.66662,1.0261496,,,,,,,,,,,
6644.69114,1.02371122,,,,,,,,,,,
6644.71566,1.01959135,,,,,,,,,,,
6644.74018,1.01457686,,,,,,,,,,,
6644.7647,1.00980925,,,,,,,,,,,
6644.78922,1.0066983,,,,,,,,,,,
6644.81374,1.00690849,,,,,,,,,,,
6644.83826,1.01105732,,,,,,,,,,,
6644.86278,1.01566951,,,,,,,,,,,
6644.88731,1.01643019,,,,,,,,,,,
6644.91183,1.01246443,,,,,,,,,,,
6644.93635,1.00632087,,,,,,,,,,,
6644.96087,0.9998915,,,,,,,,,,,
6644.98539,0.9917812,,,,,,,,,,,
6645.00991,0.97985166,,,,,,,,,,,
6645.03443,0.96436409,,,,,,,,,,,
6645.05895,0.9480829,,,,,,,,,,,
6645.08347,0.93403192,,,,,,,,,,,
6645.10799,0.92584823,,,,,,,,,,,
6645.13251,0.92717978,,,,,,,,,,,
6645.15703,0.93747739,,,,,,,,,,,
6645.18156,0.95160213,,,,,,,,,,,
6645.20608,0.96502465,,,,,,,,,,,
6645.2306,0.9772924,,,,,,,,,,,
6645.25512,0.98914451,,,,,,,,,,,
6645.27964,1.00001498,,,,,,,,,,,
6645.30416,1.00776127,,,,,,,,,,,
6645.32868,1.01081486,,,,,,,,,,,
6645.3532,1.01102107,,,,,,,,,,,
6645.37772,1.01127317,,,,,,,,,,,
6645.40224,1.01301871,,,,,,,,,,,
6645.42676,1.01587404,,,,,,,,,,,
6645.45129,1.01925633,,,,,,,,,,,
6645.47581,1.02214311,,,,,,,,,,,
6645.50033,1.02338289,,,,,,,,,,,
6645.52485,1.02258452,,,,,,,,,,,
6645.54937,1.02036663,,,,,,,,,,,
6645.57389,1.0174533,,,,,,,,,,,
6645.59841,1.01477226,,,,,,,,,,,
6645.62293,1.01330699,,,,,,,,,,,
6645.64745,1.01329406,,,,,,,,,,,
6645.67197,1.01392973,,,,,,,,,,,
6645.69649,1.01449157,,,,,,,,,,,
6645.72101,1.01521181,,,,,,,,,,,
6645.74554,1.01667235,,,,,,,,,,,
6645.77006,1.01912584,,,,,,,,,,,
